original_name,local_path,source_url,description_url,bytes,mime,source_timestamp
124-iesu_rex_admirabilis.mp3,124-iesu_rex_admirabilis.mp3,https://liberhymnarius.org/images/6/64/124-iesu_rex_admirabilis.mp3,https://liberhymnarius.org/index.php?title=File:124-iesu_rex_admirabilis.mp3,1621870,audio/mp3,2012-01-24T14:47:01Z
125_Aeterna_imago.mp3,125_Aeterna_imago.mp3,https://liberhymnarius.org/images/7/73/125_Aeterna_imago.mp3,https://liberhymnarius.org/index.php?title=File:125_Aeterna_imago.mp3,2177128,audio/mp3,2011-11-19T08:28:27Z
126_Dies_irae_1.mp3,126_Dies_irae_1.mp3,https://liberhymnarius.org/images/b/b5/126_Dies_irae_1.mp3,https://liberhymnarius.org/index.php?title=File:126_Dies_irae_1.mp3,1914332,audio/mp3,2011-11-19T08:27:45Z
128_Quid_sum_miser_1.mp3,128_Quid_sum_miser_1.mp3,https://liberhymnarius.org/images/9/90/128_Quid_sum_miser_1.mp3,https://liberhymnarius.org/index.php?title=File:128_Quid_sum_miser_1.mp3,2043905,audio/mp3,2011-11-19T08:26:59Z
129_Peccatricem_1.mp3,129_Peccatricem_1.mp3,https://liberhymnarius.org/images/7/79/129_Peccatricem_1.mp3,https://liberhymnarius.org/index.php?title=File:129_Peccatricem_1.mp3,1930530,audio/mp3,2011-11-19T08:26:21Z
181-deus_creator_omnium.mp3,181-deus_creator_omnium.mp3,https://liberhymnarius.org/images/0/08/181-deus_creator_omnium.mp3,https://liberhymnarius.org/index.php?title=File:181-deus_creator_omnium.mp3,2280606,audio/mp3,2012-01-21T14:53:10Z
182_Primo_dierum.mp3,182_Primo_dierum.mp3,https://liberhymnarius.org/images/6/6c/182_Primo_dierum.mp3,https://liberhymnarius.org/index.php?title=File:182_Primo_dierum.mp3,1414455,audio/mp3,2010-09-22T10:54:48Z
183-dies_aetasque_ceteris.mp3,183-dies_aetasque_ceteris.mp3,https://liberhymnarius.org/images/2/2b/183-dies_aetasque_ceteris.mp3,https://liberhymnarius.org/index.php?title=File:183-dies_aetasque_ceteris.mp3,1714239,audio/mp3,2012-01-21T15:15:57Z
184_Aeterne_rerum_conditor.mp3,184_Aeterne_rerum_conditor.mp3,https://liberhymnarius.org/images/4/42/184_Aeterne_rerum_conditor.mp3,https://liberhymnarius.org/index.php?title=File:184_Aeterne_rerum_conditor.mp3,1671065,audio/mp3,2010-09-19T06:54:38Z
"185_Nunc,_Sancte_in_dominicis.mp3","185_Nunc,_Sancte_in_dominicis.mp3",https://liberhymnarius.org/images/3/3d/185_Nunc%2C_Sancte_in_dominicis.mp3,"https://liberhymnarius.org/index.php?title=File:185_Nunc,_Sancte_in_dominicis.mp3",798787,audio/mp3,2010-09-19T06:56:16Z
